"Financial Year","Name","ABN","ACN","Address Line 1","Address Line 2","Suburb","State","Postcode","Lodged on behalf of","Total Receipts","Total Payments","Total Debts","Total Discretionary Benefits","Electoral Expenditure"
"2018-19","Industry Super Australia","72 158 563 270","158 563 270","Level 39, 2 Lonsdale Street","","MELBOURNE","VIC","3000","","26429436","26280343","134055","0","0"
"2018-19","KP Independents Limited","13 625 730 958","625 730 958","Level 6, 9 Barrack Street","","SYDNEY","NSW","2000","","722381","672224","111885","0","557963"
"2018-19","LET Australia Ltd","90123147240","123 147 240","PO Box 10944","","BRISBANE","QLD","4000","","18726232","27425304","223217","0","0"
"2018-19","Minerals Council of Australia","21 191 309 229","008 455 141","PO Box 4497","","KINGSTON","ACT","2604","","23897410","20820676","805753","65340","0"
"2018-19","New South Wales Nurses and Midwives' Association","63 398 164 405","","50 O'Dea Avenue","","WATERLOO","NSW","2017","","48332559","48160108","706429","95838","364922"
"2018-19","Peninsula Independent Limited ","25 631 168 968","631 168 968","Suite 4.02, Level 4, 249 Pitt Street","","SYDNEY","NSW","2000","","205218","196674","12500","0","147013"
"2018-19","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","","","PO Box 3155","","BROADWAY NEDLANDS","WA","6009","","656050635","42203546","2860140","275000","0"
"2018-19","United Workers Union","52728088684","","Locked Bag 9","","HAYMARKET","NSW","1240","","201226293","64680832","2713117","0","2248545"
"2018-19","Universities Australia","53 008 502 930","008 502 930","GPO Box 1142","","DEAKIN","ACT","2601","","17250822","12182303","315394","660000","0"
"2018-19","Warringah Independent Limited","85 630 440 514","630 440 514","Po Box 168","","ROUND CORNER","NSW","2158","","1316002","1291743","130419","0","956024"
